year,crop,baseline,scenario,split,y_true,y_pred,mae,rmse,mape,order
2019,Пшениця,arima,trend,validation,4.8,4.29,0.5099999999999998,0.5099999999999998,10.624999999999996,"(0, 1, 0)"
2020,Пшениця,arima,trend,validation,4.4799999999999995,4.8,0.3200000000000003,0.3200000000000003,7.1428571428571495,"(0, 1, 0)"
2021,Пшениця,arima,trend,validation,4.83,4.4799999999999995,0.35000000000000053,0.35000000000000053,7.246376811594215,"(0, 1, 0)"
2022,Пшениця,arima,trend,test,4.13,4.83,0.7000000000000002,0.7000000000000002,16.949152542372886,"(0, 1, 0)"
2023,Пшениця,arima,trend,test,5.09,4.061605417824692,1.0283945821753075,1.0283945821753075,20.204215759829225,"(0, 1, 2)"
2024,Пшениця,arima,trend,test,4.75,4.579975227264113,0.17002477273588656,0.17002477273588656,3.5794688997028747,"(1, 1, 0)"
2019,Кукурудза,arima,trend,validation,6.9799999999999995,5.40911489936138,1.5708851006386197,1.5708851006386197,22.50551720112636,"(2, 1, 0)"
2020,Кукурудза,arima,trend,validation,5.4799999999999995,7.102011845988458,1.6220118459884585,1.6220118459884585,29.598756313658004,"(0, 1, 2)"
2021,Кукурудза,arima,trend,validation,6.790000000000001,8.427502868379978,1.6375028683799773,1.6375028683799773,24.1163898141381,"(2, 1, 0)"
2022,Кукурудза,arima,trend,test,7.24,6.258520763467144,0.9814792365328566,0.9814792365328566,13.55634304603393,"(0, 1, 2)"
2023,Кукурудза,arima,trend,test,7.790000000000001,5.61747388248288,2.172526117517121,2.172526117517121,27.888653626663935,"(0, 1, 2)"
2024,Кукурудза,arima,trend,test,5.71,6.2645134933845075,0.5545134933845075,0.5545134933845075,9.711269586418696,"(0, 1, 2)"
2019,Соняшник,arima,trend,validation,3.0300000000000002,2.5460292974256236,0.4839707025743767,0.4839707025743767,15.972630447999228,"(1, 1, 0)"
2020,Соняшник,arima,trend,validation,2.54,3.0300000000000002,0.4900000000000002,0.4900000000000002,19.291338582677174,"(0, 1, 0)"
2021,Соняшник,arima,trend,validation,2.57,2.697714534407662,0.12771453440766223,0.12771453440766223,4.9694371364849115,"(0, 1, 1)"
2022,Соняшник,arima,trend,test,2.81,2.641894701458129,0.16810529854187095,0.16810529854187095,5.982394965902881,"(0, 1, 1)"
2023,Соняшник,arima,trend,test,2.57,2.712950782393984,0.14295078239398418,0.14295078239398418,5.562287252684209,"(0, 1, 1)"
2024,Соняшник,arima,trend,test,2.46,2.655017695791694,0.19501769579169403,0.19501769579169403,7.927548609418457,"(0, 1, 1)"
