year,crop,baseline,scenario,split,y_true,y_pred,mae,rmse,mape
2019,Пшениця,naive_lag1,lag_only,validation,4.8,4.29,0.5099999999999998,0.5099999999999998,10.624999999999996
2019,Пшениця,forecast_linear,trend,validation,4.8,4.843333333333362,0.04333333333336231,0.04333333333336231,0.9027777777783815
2020,Пшениця,naive_lag1,lag_only,validation,4.4799999999999995,4.8,0.3200000000000003,0.3200000000000003,7.1428571428571495
2020,Пшениця,forecast_linear,trend,validation,4.4799999999999995,5.010666666666623,0.5306666666666233,0.5306666666666233,11.845238095237129
2021,Пшениця,naive_lag1,lag_only,validation,4.83,4.4799999999999995,0.35000000000000053,0.35000000000000053,7.246376811594215
2021,Пшениця,forecast_linear,trend,validation,4.83,5.0,0.16999999999999993,0.16999999999999993,3.5196687370600404
2021,Пшениця,linest_lag_only,lag_only,validation,4.83,4.474920779261239,0.3550792207387614,0.3550792207387614,7.351536661258
2022,Пшениця,naive_lag1,lag_only,test,4.13,4.83,0.7000000000000002,0.7000000000000002,16.949152542372886
2022,Пшениця,forecast_linear,trend,test,4.13,5.101515151515173,0.971515151515173,0.971515151515173,23.52336928608167
2022,Пшениця,linest_lag_only,lag_only,test,4.13,5.832962329700443,1.7029623297004433,1.7029623297004433,41.23395471429645
2023,Пшениця,naive_lag1,lag_only,test,5.09,4.13,0.96,0.96,18.860510805500983
2023,Пшениця,forecast_linear,trend,test,5.09,4.954230769230776,0.13576923076922398,0.13576923076922398,2.6673719208099014
2023,Пшениця,linest_lag_only,lag_only,test,5.09,2.9742119964971483,2.1157880035028516,2.1157880035028516,41.567544273140506
2024,Пшениця,naive_lag1,lag_only,test,4.75,5.09,0.33999999999999986,0.33999999999999986,7.157894736842102
2024,Пшениця,forecast_linear,trend,test,4.75,5.112637362637344,0.3626373626373436,0.3626373626373436,7.634470792365128
2024,Пшениця,linest_lag_only,lag_only,test,4.75,5.04288758598214,0.2928875859821396,0.2928875859821396,6.166054441729255
2019,Кукурудза,naive_lag1,lag_only,validation,6.9799999999999995,8.22,1.240000000000001,1.240000000000001,17.76504297994271
2019,Кукурудза,forecast_linear,trend,validation,6.9799999999999995,7.548333333333346,0.5683333333333467,0.5683333333333467,8.14231136580726
2020,Кукурудза,naive_lag1,lag_only,validation,5.4799999999999995,6.9799999999999995,1.5,1.5,27.37226277372263
2020,Кукурудза,forecast_linear,trend,validation,5.4799999999999995,7.54200000000003,2.0620000000000305,2.0620000000000305,37.62773722627793
2021,Кукурудза,naive_lag1,lag_only,validation,6.790000000000001,5.4799999999999995,1.3100000000000014,1.3100000000000014,19.29307805596467
2021,Кукурудза,forecast_linear,trend,validation,6.790000000000001,6.982181818181829,0.19218181818182778,0.19218181818182778,2.830365510778023
2021,Кукурудза,linest_lag_only,lag_only,validation,6.790000000000001,5.376468699861913,1.4135313001380876,1.4135313001380876,20.81783947184223
2022,Кукурудза,naive_lag1,lag_only,test,7.24,6.790000000000001,0.4499999999999993,0.4499999999999993,6.215469613259658
2022,Кукурудза,forecast_linear,trend,test,7.24,7.014393939393926,0.2256060606060739,0.2256060606060739,3.116105809476159
2022,Кукурудза,linest_lag_only,lag_only,test,7.24,7.249140040280155,0.009140040280154693,0.009140040280154693,0.12624365027837972
2023,Кукурудза,naive_lag1,lag_only,test,7.790000000000001,7.24,0.5500000000000007,0.5500000000000007,7.060333761232357
2023,Кукурудза,forecast_linear,trend,test,7.790000000000001,7.1726923076923015,0.6173076923076994,0.6173076923076994,7.92436062012451
2023,Кукурудза,linest_lag_only,lag_only,test,7.790000000000001,6.955687774592686,0.8343122254073148,0.8343122254073148,10.710041404458467
2024,Кукурудза,naive_lag1,lag_only,test,5.71,7.790000000000001,2.080000000000001,2.080000000000001,36.42732049036779
2024,Кукурудза,forecast_linear,trend,test,5.71,7.445384615384626,1.7353846153846257,1.7353846153846257,30.39202478782182
2024,Кукурудза,linest_lag_only,lag_only,test,5.71,6.539690306723195,0.8296903067231947,0.8296903067231947,14.530478226325652
2019,Соняшник,naive_lag1,lag_only,validation,3.0300000000000002,2.8600000000000003,0.16999999999999993,0.16999999999999993,5.610561056105608
2019,Соняшник,forecast_linear,trend,validation,3.0300000000000002,2.8477777777777646,0.1822222222222356,0.1822222222222356,6.013934726806455
