baseline,crop,mae,rmse,mape,n
naive_lag1,Пшениця,0.6666666666666666,0.7134890795707154,14.32251936157199,3
forecast_linear,Пшениця,0.4899739149739135,0.6038158743711487,11.2750706664189,3
arima,Пшениця,0.632806276794439,0.7249146228949527,13.57760872797427,3
linest_lag_only,Пшениця,1.8124872301562487,1.871293412303888,36.55594392964616,2
naive_lag1,Кукурудза,1.026666666666667,1.2690416331494676,16.567707954953267,3
forecast_linear,Кукурудза,0.8594327894327997,1.071373984638121,13.810830405807499,3
arima,Кукурудза,1.2362773921241554,1.4131797327000184,17.05353380092264,3
linest_lag_only,Кукурудза,1.2718818682693187,1.5769756270491797,17.121098676553792,2
naive_lag1,Соняшник,0.19666666666666677,0.20599352740640517,7.450330461043095,3
forecast_linear,Соняшник,0.24439671439671073,0.2847112905592318,9.683250094466537,3
arima,Соняшник,0.16869053444051696,0.17002515768018117,6.490717860041053,3
linest_lag_only,Соняшник,0.1895115307619326,0.1912730213770864,7.516324463908963,2
