scenario,model,crop,lag_config,mae,rmse,mape,n
lag_only,elasticnet,Пшениця,L1,0.5392379021371628,0.7111258640438622,11.21744336724174,3
lag_only,xgboost,Пшениця,L1,0.7516500854492186,0.9669808111012391,15.336762628897015,3
lag_only,lightgbm,Пшениця,L1,0.9058035413923138,1.0748850993575356,19.257707920812834,3
in_season,elasticnet,Пшениця,L1,0.5986681426868604,0.7649991077985934,12.069957086359262,3
in_season,xgboost,Пшениця,L1,0.8796427917480468,1.2227153338117025,17.895472356487033,3
in_season,lightgbm,Пшениця,L1,0.8143130601767061,1.0022497645466495,17.124432808588672,3
lag_only,elasticnet,Кукурудза,L1,1.209383944205979,1.2234654305496724,18.08206594891394,3
lag_only,xgboost,Кукурудза,L1,1.0615028762817387,1.1052570964699668,15.802103190225345,3
lag_only,lightgbm,Кукурудза,L1,0.6919988398727179,0.8076495913734452,10.712269494784644,3
in_season,elasticnet,Кукурудза,L1,1.0711211574203559,1.0898300108593317,15.637777081106504,3
in_season,xgboost,Кукурудза,L1,1.2501633389790856,1.4440682360552402,18.637835528022848,3
in_season,lightgbm,Кукурудза,L1,1.9870388976399014,2.0379879496411344,28.77710516254329,3
lag_only,elasticnet,Соняшник,L1,0.5018303995787766,0.5938359142292473,18.856611812987712,3
lag_only,xgboost,Соняшник,L1,0.08921433448791512,0.09404293216733454,3.3739960158235967,3
lag_only,lightgbm,Соняшник,L1,0.04133337195435294,0.0462405304240962,1.6143304385994763,3
in_season,elasticnet,Соняшник,L1,0.1250671550671553,0.16083681535294345,4.652901044788378,3
in_season,xgboost,Соняшник,L1,0.14352425893147794,0.16802737965541684,5.33549399932668,3
in_season,lightgbm,Соняшник,L1,0.1558759467136618,0.1566813407025828,5.970911343259384,3
