crop,scenario,lag_config,model,params_json,validation_mae,validation_rmse,validation_mape
Пшениця,lag_only,L1,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.8}",0.3694206778866585,0.531037923763721,7.717288605391924
Пшениця,lag_only,L1,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}",0.32456823984781913,0.4091365786349416,6.771379419241883
Пшениця,lag_only,L1,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",0.4108627394548021,0.5113289324404305,8.614828946886034
Пшениця,in_season,L1,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.2}",0.5697052779846223,0.654671404873589,11.931862658930237
Пшениця,in_season,L1,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",0.3437823804219562,0.4154458531297078,7.207106601953338
Пшениця,in_season,L1,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}",0.41461343935603195,0.4913232872236144,8.670587273963006
Кукурудза,lag_only,L1,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.2}",0.5146108023790333,0.7047096091751751,8.94640583884951
Кукурудза,lag_only,L1,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",0.6287542851765947,0.7571125208249281,10.127706018048888
Кукурудза,lag_only,L1,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}",0.4292065832421497,0.45676940240206115,6.6396941748911615
Кукурудза,in_season,L1,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.6146686098668758,0.7610736392207211,10.475495698767956
Кукурудза,in_season,L1,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",0.5021142959594727,0.7310644244845494,8.853049501561108
Кукурудза,in_season,L1,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}",0.7992464386515602,0.8948545223993161,13.18684915886289
Соняшник,lag_only,L1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.8}",0.1836772040742236,0.25585163419522966,7.039545482254337
Соняшник,lag_only,L1,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",0.3416401290893556,0.3718113377505054,12.296443995909131
Соняшник,lag_only,L1,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}",0.40190635565428706,0.41039094506785123,14.817165351772466
Соняшник,in_season,L1,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.18570033670033684,0.30370446831486414,6.193443390895531
Соняшник,in_season,L1,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}",0.14809025764465344,0.1764127491497026,5.243400659990264
Соняшник,in_season,L1,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}",0.2458578907901039,0.28756611764719564,9.122152603190026
